date,min_temperature_2m,max_temperature_2m,avg_temperature_2m,avg_relative_humidity_2m,avg_pm2_5,avg_pm10,target
2020-08-05,14.8,27.4,21.758333333333336,50.458333333333336,6.325,7.966666666666666,23.116666666666664
2020-08-06,16.9,29.3,23.116666666666664,63.75,12.683333333333332,14.270833333333334,25.4125
2020-08-07,19.3,30.6,25.4125,64.16666666666667,15.945833333333333,18.7,26.758333333333336
2020-08-08,20.7,32.3,26.758333333333336,60.458333333333336,15.475,18.2125,27.508333333333336
2020-08-09,21.0,33.8,27.508333333333336,55.333333333333336,15.204166666666666,17.545833333333334,27.820833333333336
2020-08-10,22.4,33.4,27.820833333333336,58.41666666666666,18.241666666666667,22.2875,27.370833333333334
2020-08-11,21.5,32.7,27.370833333333334,60.083333333333336,20.64583333333333,24.4,27.275
2020-08-12,23.0,31.8,27.275,66.5,22.508333333333336,25.104166666666668,24.704166666666666
2020-08-13,21.5,28.3,24.704166666666666,78.375,18.491666666666667,20.65833333333333,23.745833333333334
2020-08-14,20.2,27.1,23.745833333333334,80.83333333333333,17.720833333333335,20.3125,25.45
2020-08-15,20.7,30.5,25.45,68.58333333333333,18.604166666666668,21.2625,24.1125
2020-08-16,20.3,28.1,24.1125,75.375,12.6125,13.604166666666666,21.6875
2020-08-17,19.1,26.1,21.6875,84.20833333333333,8.979166666666666,10.620833333333334,22.89583333333333
2020-08-18,18.6,27.7,22.89583333333333,76.5,12.241666666666667,13.895833333333334,23.34166666666667
2020-08-19,18.4,28.4,23.34166666666667,72.54166666666667,11.833333333333334,13.091666666666669,25.4375
2020-08-20,20.6,30.3,25.4375,70.29166666666667,14.445833333333333,18.2375,26.766666666666666
2020-08-21,21.9,31.7,26.766666666666666,66.625,16.508333333333333,20.058333333333334,27.225
2020-08-22,20.3,32.8,27.225,59.91666666666666,13.508333333333333,17.070833333333333,23.854166666666668
2020-08-23,20.2,27.2,23.854166666666668,75.66666666666667,10.466666666666669,12.595833333333331,23.066666666666663
2020-08-24,19.3,27.0,23.066666666666663,68.625,8.475,9.9,23.058333333333334
2020-08-25,18.9,27.6,23.058333333333334,67.5,10.445833333333333,12.704166666666666,24.891666666666666
2020-08-26,19.7,30.0,24.891666666666666,66.75,13.229166666666666,16.3625,24.5625
2020-08-27,19.5,28.6,24.5625,72.08333333333333,12.766666666666666,16.641666666666666,22.175
2020-08-28,19.9,26.5,22.175,82.33333333333333,15.1375,17.025000000000002,21.32916666666667
2020-08-29,19.7,26.1,21.32916666666667,85.45833333333333,8.154166666666667,10.295833333333333,19.341666666666665
2020-08-30,17.3,22.5,19.341666666666665,87.20833333333333,4.895833333333333,5.741666666666667,18.454166666666666
2020-08-31,14.3,22.7,18.454166666666666,71.41666666666667,8.108333333333333,9.195833333333333,18.904166666666665
2020-09-01,14.0,24.7,18.904166666666665,72.54166666666667,14.320833333333333,16.983333333333334,18.375
2020-09-02,15.6,21.9,18.375,77.70833333333333,11.291666666666666,13.370833333333332,19.266666666666666
2020-09-03,14.8,24.2,19.266666666666666,75.83333333333333,18.29583333333333,20.525,20.6875
2020-09-04,15.7,26.2,20.6875,75.33333333333333,26.641666666666666,29.441666666666663,21.90416666666667
2020-09-05,16.3,27.5,21.90416666666667,73.375,33.8375,36.6625,21.879166666666663
2020-09-06,16.8,27.1,21.879166666666663,65.125,10.041666666666666,12.245833333333332,19.14583333333333
2020-09-07,17.3,21.8,19.14583333333333,87.125,10.05,11.5,20.7875
2020-09-08,17.5,25.5,20.7875,76.33333333333333,14.8,17.433333333333334,21.091666666666665
2020-09-09,16.4,26.3,21.091666666666665,77.58333333333333,22.6125,24.9375,21.85833333333333
2020-09-10,16.7,27.0,21.85833333333333,78.41666666666667,24.3125,27.8125,21.72083333333333
2020-09-11,18.9,25.6,21.72083333333333,80.79166666666667,25.054166666666664,28.9125,22.375
2020-09-12,17.0,27.7,22.375,76.83333333333333,25.366666666666664,29.84583333333333,23.67083333333333
2020-09-13,18.5,29.1,23.67083333333333,76.125,27.1375,30.254166666666663,23.59166666666667
2020-09-14,19.8,28.2,23.59166666666667,74.70833333333333,23.808333333333334,28.6,22.77083333333333
2020-09-15,18.1,27.7,22.77083333333333,72.25,26.78333333333333,30.6625,23.175
2020-09-16,19.2,27.8,23.175,71.33333333333333,21.379166666666663,24.683333333333334,22.8375
2020-09-17,18.4,28.6,22.8375,75.66666666666667,23.508333333333336,26.10833333333333,23.225
2020-09-18,18.6,27.6,23.225,62.833333333333336,21.491666666666664,25.291666666666668,20.529166666666665
2020-09-19,17.6,23.6,20.529166666666665,65.625,18.04583333333333,22.041666666666668,19.6875
2020-09-20,17.0,23.7,19.6875,72.91666666666667,24.02083333333333,27.5375,19.6625
2020-09-21,17.4,23.1,19.6625,83.33333333333333,25.4625,29.27083333333333,17.912499999999998
2020-09-22,16.7,19.7,17.912499999999998,91.58333333333331,14.2625,17.304166666666667,18.8125
2020-09-23,16.5,22.1,18.8125,83.5,10.779166666666669,12.7125,18.195833333333333
2020-09-24,15.9,20.9,18.195833333333333,88.33333333333333,16.754166666666666,19.22083333333333,15.179166666666667
2020-09-25,11.9,17.3,15.179166666666667,73.25,4.841666666666667,5.604166666666667,14.4125
2020-09-26,10.5,18.6,14.4125,37.29166666666666,3.525,5.0875,11.420833333333334
2020-09-27,5.5,16.9,11.420833333333334,64.91666666666667,8.733333333333333,10.65,13.329166666666666
2020-09-28,7.6,19.8,13.329166666666666,68.25,11.9375,14.508333333333333,15.0875
2020-09-29,10.1,20.5,15.0875,73.25,18.39583333333333,21.3,16.575
2020-09-30,12.2,21.5,16.575,75.375,16.2375,20.716666666666665,16.791666666666668
